update,episode,timestep,reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0,0,0,0.27,60.0,54.12,0.96,-25.0,1.0,7.56,198.64
0,0,1,0.21,60.0,54.93,0.34,-24.24,1.0,2.99,100.0
0,0,2,0.19,57.98,53.25,0.1,-13.49,1.0,8.41,100.0
0,0,3,0.25,60.0,45.05,0.1,-19.81,4.36,9.08,100.0
0,0,4,0.29,60.0,60.0,0.1,-23.55,3.57,2.79,100.0
0,0,5,0.19,60.0,59.62,0.1,-0.23,2.48,1.0,100.0
0,0,6,0.19,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,7,0.18,60.0,60.0,0.1,-3.3,1.0,1.0,100.0
0,0,8,0.18,60.0,60.0,0.1,-10.85,1.0,1.0,100.0
0,0,9,0.24,60.0,60.0,0.71,0.0,1.0,1.0,100.0
0,0,10,0.24,60.0,60.0,0.73,0.0,1.0,1.0,100.0
0,0,11,0.17,60.0,60.0,0.1,0.0,1.0,1.0,100.0
0,0,12,0.2,60.0,53.0,0.1,0.0,1.0,1.0,100.0
0,0,13,0.21,60.0,51.18,0.1,0.0,1.0,1.0,100.0
0,0,14,0.18,60.0,59.52,0.1,0.0,1.0,1.0,100.0
0,0,15,0.18,60.0,57.04,0.1,0.0,1.0,1.0,100.0
0,0,16,0.22,60.0,44.58,0.1,0.0,1.0,1.0,100.0
0,0,17,0.22,60.0,49.57,0.1,0.0,1.92,1.0,100.0
0,0,18,0.2,60.0,57.88,0.1,0.0,2.09,1.0,100.0
0,0,19,0.19,57.83,55.3,0.1,0.0,1.0,1.0,100.0
0,1,0,0.27,49.58,45.18,0.83,0.0,3.66,10.0,224.33
0,1,1,0.28,56.47,40.0,0.84,0.0,2.78,10.0,213.32
0,1,2,0.31,55.69,53.14,2.19,0.0,1.0,10.0,214.58
0,1,3,0.34,44.65,53.14,3.0,0.0,1.0,10.0,100.0
0,1,4,0.34,40.0,50.32,3.0,0.0,1.0,10.0,100.0
0,1,5,0.32,40.0,60.0,2.44,-10.29,2.71,9.43,100.0
0,1,6,0.32,40.0,60.0,2.7,-20.45,1.0,3.27,100.0
0,1,7,0.35,40.0,60.0,3.0,-22.13,2.09,3.97,100.0
0,1,8,0.34,40.0,60.0,3.0,-25.0,1.0,4.11,100.0
0,1,9,0.34,40.0,60.0,3.0,-25.0,1.0,10.0,100.0
0,1,10,0.33,40.0,60.0,3.0,-25.0,1.0,10.0,155.88
0,1,11,0.37,40.0,60.0,3.0,-25.0,2.92,10.0,134.53
0,1,12,0.34,40.0,60.0,3.0,-25.0,1.0,9.45,100.0
0,1,13,0.37,40.0,60.0,3.0,-25.0,3.01,3.91,162.18
0,1,14,0.38,40.0,60.0,3.0,-25.0,4.88,5.85,125.81
0,1,15,0.36,40.0,60.0,3.0,-25.0,4.6,10.0,208.11
0,1,16,0.35,40.0,60.0,2.09,-25.0,5.0,10.0,108.33
0,1,17,0.25,40.0,60.0,0.1,-22.27,3.26,10.0,117.16
0,1,18,0.29,40.0,60.0,1.58,-16.97,4.58,10.0,100.0
0,1,19,0.2,40.0,60.0,0.1,-10.08,5.0,10.0,100.0
1,0,0,0.18,56.52,60.0,0.1,0.0,2.66,10.0,100.0
1,0,1,0.19,54.32,60.0,0.1,0.0,1.56,9.76,100.0
1,0,2,0.2,50.61,56.44,0.1,0.0,1.0,6.35,100.0
1,0,3,0.22,40.0,49.66,0.1,0.0,1.92,2.74,100.0
1,0,4,0.21,40.0,52.81,0.1,0.0,4.06,1.0,100.0
1,0,5,0.2,40.0,55.33,0.1,0.0,2.81,1.0,100.0
1,0,6,0.22,43.4,54.23,0.1,-12.79,3.23,1.0,100.0
1,0,7,0.29,51.6,58.48,0.1,-21.35,3.43,1.0,100.0
1,0,8,0.3,59.09,54.11,0.1,-25.0,3.14,1.0,100.0
1,0,9,0.19,60.0,58.05,0.1,-2.31,2.67,1.0,100.0
1,0,10,0.18,57.66,60.0,0.1,-9.5,2.1,1.0,100.0
1,0,11,0.18,49.96,60.0,0.1,-3.13,1.41,1.0,100.0
1,0,12,0.19,40.0,60.0,0.1,-3.36,1.0,1.0,100.0
1,0,13,0.18,41.42,60.0,0.1,-7.4,1.0,1.0,100.0
1,0,14,0.19,40.0,60.0,0.1,0.0,1.0,1.0,100.0
1,0,15,0.26,40.0,57.08,0.9,-19.62,1.0,1.0,100.0
1,0,16,0.19,40.0,59.49,0.1,-25.0,1.0,1.0,100.0
1,0,17,0.25,40.0,60.0,0.69,-14.6,1.0,1.0,100.0
1,0,18,0.18,40.0,60.0,0.1,-25.0,1.0,1.0,100.0
1,0,19,0.19,40.0,60.0,0.1,-25.0,1.0,1.0,100.0
1,1,0,0.27,53.57,59.24,1.01,-7.22,1.0,5.63,184.21
1,1,1,0.34,60.0,60.0,3.0,0.0,1.0,4.78,213.79
1,1,2,0.34,60.0,59.78,3.0,0.0,1.01,2.95,100.0
1,1,3,0.34,58.3,55.45,3.0,0.0,1.0,1.48,100.0
1,1,4,0.34,60.0,60.0,3.0,0.0,1.0,1.0,153.99
1,1,5,0.35,60.0,56.38,3.0,0.0,1.0,1.0,185.5
1,1,6,0.34,60.0,60.0,3.0,0.0,1.0,1.0,127.87
1,1,7,0.34,54.89,60.0,3.0,0.0,1.0,1.0,300.0
1,1,8,0.34,43.65,60.0,3.0,0.0,1.0,1.0,200.69
1,1,9,0.33,40.0,60.0,2.84,0.0,1.0,1.0,178.49
1,1,10,0.29,40.0,60.0,1.37,0.0,1.0,1.0,287.02
1,1,11,0.33,49.75,60.0,2.73,0.0,1.0,1.0,267.0
1,1,12,0.34,60.0,53.96,3.0,-6.82,1.0,1.0,300.0
1,1,13,0.35,60.0,60.0,3.0,-10.79,1.0,1.0,190.19
1,1,14,0.34,60.0,60.0,3.0,-10.75,1.0,1.0,151.01
1,1,15,0.33,56.15,60.0,3.0,-18.64,1.0,1.0,300.0
1,1,16,0.34,59.24,60.0,3.0,-15.96,1.0,1.0,300.0
