score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.3998,27.68,34.27,1.56,-8.89,6.97,8.6,243.28,34.06,34.77,1.91,-11.2,4.88,8.54,90.53,20.44,52.05,1.26,-0.62,7.52,9.47,73.43,16.72,47.26,0.05,-6.19,3.84,5.27,108.2
0.4257,27.68,32.49,1.56,-7.77,6.97,8.6,243.28,35.38,34.77,1.91,-11.2,4.88,3,57.17,20.44,52,1.26,-2.76,8.54,9.47,196.68,15.83,47.26,1.98,-6.19,3.84,5.27,108.2
0.3845,27.68,35.58,1.56,-8.89,3.65,4.9,243.28,51.59,39.19,1.13,-12.48,4.88,3,90.53,22.74,52.05,1,-0.62,8.54,9.47,73.43,16.72,47.26,0.05,-6.19,7.56,5.27,108.2
0.3801,27.68,34.27,1.56,-8.89,6.97,8.6,216.79,34.06,39.19,1.13,-11.2,4.88,7.35,57.17,22.74,52.05,1.26,-2.76,8.54,4.4,196.68,16.72,31.52,1.98,-6.19,3.84,9.16,108.65
0.3944,54.7,34.27,0.86,-8.89,3.65,4.9,216.79,51.59,39.19,1.91,-12.48,5.86,7.35,57.17,22.74,52.05,1.26,-0.62,8.54,4.4,196.68,16.72,33.17,1.98,-6.19,7.56,5.27,108.2
0.4161,27.68,32.49,1.56,-7.77,3.65,4.9,216.79,51.59,39.19,1.91,-11.2,5.86,3,57.17,22.74,52.05,1.26,-0.62,8.54,4.4,73.43,16.72,33.17,0.05,-6.19,8.74,9.16,108.65
0.3758,27.68,34.27,1.56,-8.89,3.65,4.9,216.79,34.06,39.19,1.13,-12.48,5.86,7.35,90.53,22.74,52,1,-2.76,8.54,9.47,98.45,15.83,47.26,0.05,-6.19,3.84,5.27,108.65
0.412,27.84,32.49,1.56,-8.89,3.65,4.9,243.28,51.59,34.77,1.13,-12.48,4.88,7.35,90.53,22.74,52.05,1.26,-2.76,8.54,4.4,196.68,15.83,33.17,1.52,-10.23,7.56,9.16,108.65
0.3767,27.68,32.49,1.56,-7.22,6.97,4.9,216.79,51.59,39.19,1.13,-12.48,5.86,7.35,90.53,22.74,52,1.26,-0.62,8.54,9.47,73.43,15.83,47.26,0.05,-6.19,3.84,5.27,108.65
0.4357,27.68,32.49,1.56,-7.77,6.97,8.6,216.79,34.06,39.19,1.91,-12.48,4.88,3,57.17,20.44,52,1,-0.62,7.52,9.47,196.68,15.83,33.17,1.98,-12.14,3.84,5.27,108.65
0.4144,27.68,32.49,0.86,-8.89,6.97,8.6,243.28,34.06,34.77,1.91,-9.97,4.88,3,90.53,20.44,52.05,1.26,-2.76,7.52,9.47,196.68,16.72,47.26,1.98,-10.23,7.56,9.16,108.65
0.3972,27.68,32.49,1.72,-7.77,3.65,8.6,216.79,51.59,34.77,1.13,-11.2,5.86,3,57.17,22.74,52,1,-0.62,7.52,9.47,196.68,16.72,47.26,0.05,-10.23,3.84,5.27,108.65
0.4242,27.68,34.27,1.56,-8.89,6.97,4.9,216.79,34.06,34.77,1.91,-12.48,4.88,3,57.17,20.44,52,1,-0.62,7.52,4.4,73.43,33.28,47.26,0.05,-6.19,3.84,9.16,108.2
0.4183,27.68,32.49,1.38,-8.89,3.65,4.9,243.28,51.59,34.77,1.91,-12.48,4.88,7.35,57.17,20.44,52,1,-0.62,7.52,4.4,196.68,16.72,47.26,1.98,-6.19,7.56,9.16,108.2
0.3935,27.68,34.27,1.56,-8.89,3.65,8.6,216.79,51.59,39.19,1.91,-12.48,5.86,7.35,57.17,22.74,52,1,-2.76,8.54,9.47,196.68,16.72,47.26,1.98,-6.19,7.97,9.16,108.65
0.3814,27.68,32.49,1.56,-7.77,3.65,4.9,216.79,51.59,39.19,1.13,-11.2,4.88,7.35,90.53,20.44,52.05,1.9,-0.62,7.52,9.47,196.68,15.83,47.26,1.98,-10.23,7.56,9.16,108.2
0.4161,27.68,34.27,0.86,-7.77,6.97,8.6,243.28,34.06,39.19,1.8,-12.48,5.86,3,90.53,20.44,52,1,-0.62,7.52,4.4,73.43,15.83,33.17,0.05,-10.23,7.56,9.16,108.65
0.3813,27.68,32.49,1.56,-8.89,7.59,8.6,243.28,51.59,39.19,1.13,-11.2,5.86,7.35,57.17,22.74,52.05,1,-0.62,7.52,4.4,73.43,15.83,33.17,0.05,-10.23,3.84,5.27,108.2
0.425,27.68,34.27,1.56,-7.77,3.65,4.9,243.28,51.59,39.19,1.91,-12.48,4.88,3,57.17,20.44,52,1,-0.62,7.52,4.4,73.43,15.83,33.17,1.98,-8.11,3.84,9.16,108.65
0.397,27.68,32.49,0.86,-8.89,1.19,8.6,243.28,34.06,39.19,1.13,-11.2,4.88,3,57.17,20.44,52.05,1.26,-2.76,7.52,4.4,196.68,15.83,33.17,1.98,-10.23,7.56,9.16,108.65
